LocMailCnt,count,timestamp,gear,tsns.hasTemp,tsns.temp,Gyro.hasTemp,Gryo.temp,Gyro.hasX,Gyro.x,Gyro.hasY,Gyro.y,Gyro.hasZ,Gyro.z,Gsns.hasTemp,Gsns.temp,Gsns.hasX,Gsns.x,Gsns.hasY,Gsns.y,Gsns.hasZ,Gsns.z,Pls.cycleTime,Pls.cycleCount,Pls.pulseCount
15076,242,1512396,1,0,0,1,34,1,43.600018,1,-3.600002,1,-37.800018,0,0,1,-609.793762,1,-2284.176514,1,16137.63477,0,0,0
15076,242,1512396,1,0,0,1,34,1,29.60001,1,5.200002,1,-32.000015,0,0,1,-612.193726,1,-2302.976562,1,16157.43457,0,0,0
15077,243,1512496,1,0,0,1,34,1,29.800011,1,3.400002,1,-26.400011,0,0,1,-604.793762,1,-2294.176514,1,16137.03711,0,0,0
15077,243,1512496,1,0,0,1,34,1,14.600007,1,13.000007,1,-37.600018,0,0,1,-618.193665,1,-2322.576416,1,16134.43359,0,0,0
15078,244,1512597,1,0,0,1,34,1,18.200006,1,-5.000002,1,-37.600014,0,0,1,-618.393677,1,-2288.776611,1,16141.83496,0,0,0
15078,244,1512597,1,0,0,1,34,1,31.200016,1,-7.600003,1,-42.600018,0,0,1,-625.393616,1,-2295.976562,1,16156.03613,0,0,0
15079,245,1512698,1,0,0,1,34,1,41.400021,1,11.800005,1,-28.400011,0,0,1,-610.193787,1,-2285.176514,1,16132.63379,0,0,0
15079,245,1512698,1,0,0,1,34,1,22.400009,1,-9.400004,1,-36.400013,0,0,1,-603.793823,1,-2292.57666,1,16139.03516,0,0,0
15080,246,1512799,1,0,0,1,34,1,29.800013,1,10.800005,1,-37.800018,0,0,1,-611.393799,1,-2289.376465,1,16126.43359,0,0,0
15080,246,1512799,1,0,0,1,34,1,30.200012,1,3.000001,1,-36.200016,0,0,1,-612.793762,1,-2300.976562,1,16142.83594,0,0,0
