# TimeStamp,latitude(deg),longitude(deg),height(m),std_n(m),std_e(m),std_d(m)
1263794,37.400175000,127.111371667,34.600,24.030,17.270,16.120
1264845,37.400170000,127.111375000,35.600,23.590,17.080,15.860
1265790,37.400171667,127.111375000,36.000,24.330,17.730,16.180
1266792,37.400158333,127.111371667,36.100,24.250,17.870,16.190
1267794,37.400158333,127.111378333,36.000,24.120,17.960,16.150
1268792,37.400168333,127.111378333,35.900,24.030,18.040,16.120
1269841,37.400186667,127.111390000,36.100,23.730,17.940,15.900
1270791,37.400193333,127.111396667,35.900,22.200,16.800,14.680
1271793,37.400213333,127.111396667,36.200,20.720,15.630,13.350
1272797,37.400233333,127.111405000,36.300,22.620,16.960,14.160
1273792,37.400235000,127.111406667,36.300,23.120,17.170,14.230
1274845,37.400246667,127.111401667,36.200,24.460,17.920,14.680
1275791,37.400240000,127.111388333,35.700,25.230,18.230,14.800
1276792,37.400230000,127.111375000,35.700,25.810,18.390,14.810
1277795,37.400218333,127.111368333,35.200,26.130,18.380,14.720
1278794,37.400208333,127.111345000,34.300,27.390,18.870,15.120
1279846,37.400208333,127.111353333,34.400,26.480,18.160,14.410
1280805,37.400210000,127.111361667,34.400,26.870,18.280,14.410
1281795,37.400206667,127.111366667,34.300,27.360,18.500,14.460
1282798,37.400225000,127.111380000,34.100,25.510,17.000,13.560
1283802,37.400230000,127.111361667,32.900,25.860,17.110,13.870
1284847,37.400228333,127.111358333,32.500,24.640,16.290,13.340
1285398,37.400246667,127.111371667,32.300,26.320,17.470,14.720
1286403,37.400248333,127.111376667,32.600,23.790,16.100,13.900
1287406,37.400271667,127.111393333,32.600,25.670,17.640,15.240
1288402,37.400285000,127.111406667,32.900,22.960,15.910,13.930
1289452,37.400296667,127.111416667,32.900,22.800,15.910,14.070
1290409,37.400311667,127.111440000,33.100,22.510,15.800,14.100
1291405,37.400306667,127.111456667,33.400,22.410,15.790,14.240
1292410,37.400316667,127.111480000,33.600,22.250,15.650,14.310
1293405,37.400315000,127.111501667,33.800,22.450,15.860,14.750
1294453,37.400331667,127.111516667,34.000,21.310,15.140,14.160
1295410,37.400345000,127.111541667,34.300,21.080,15.010,14.100
1296408,37.400355000,127.111553333,34.200,21.150,15.040,14.200
1297411,37.400365000,127.111565000,34.000,21.290,15.070,14.330
1298410,37.400373333,127.111581667,33.700,21.240,15.040,14.300
1299460,37.400375000,127.111596667,33.300,21.110,14.860,14.130
